,title,keywords,id,genres,cast,director,soup
891,Man on the Moon,show business comedian wrestling,1850,Comedy Drama Romance,Jim Carrey Courtney Love Bob Zmuda Danny DeVito Gerry Becker,Milo\u0161 Forman,man on the moon show busi comedian wrestl 1850 comedi drama romanc jim carrey courtney love bob zmuda danni devito gerri becker milo\u0161 forman
892,Casino,poker drug abuse 1970s overdose illegal prostitution,524,Drama Crime,Robert De Niro Sharon Stone Joe Pesci James Woods Don Rickles,Martin Scorsese,casino poker drug abus 1970 overdos illeg prostitut 524 drama crime robert de niro sharon stone joe pesci jame wood don rickl martin scorses
893,From Paris with Love,paris cia undercover explosive pimp,26389,Action Crime Thriller,John Travolta Jonathan Rhys Meyers Kasia Smutniak Richard Durden Bing Yin,Pierre Morel,from pari with love pari cia undercov explos pimp 26389 action crime thriller john travolta jonathan rhi meyer kasia smutniak richard durden bing yin pierr morel
894,Bulletproof Monk,monk homeless person injection fall knife fight,11817,Action Comedy Fantasy,Seann William Scott Jaime King Karel Roden Chow Yun-fat K. C. Collins,Paul Hunter,bulletproof monk monk homeless person inject fall knife fight 11817 action comedi fantasi seann william scott jaim king karel roden chow yun-fat k. c. collin paul hunter
895,"Me, Myself & Irene",schizophrenia ex-cop aftercreditsstinger duringcreditsstinger,2123,Comedy,Jim Carrey Ren\u00e9e Zellweger Anthony Anderson Robert Forster Richard Jenkins,Bobby Farrelly,"me, myself & iren schizophrenia ex-cop aftercreditssting duringcreditssting 2123 comedi jim carrey ren\u00e9 zellweg anthoni anderson robert forster richard jenkin bobbi farrelli"
896,Barnyard,peasant farm cow cojote family,9907,Animation Comedy Family,Courteney Cox Kevin James Sam Elliott Danny Glover Wanda Sykes,Steve Oedekerk,barnyard peasant farm cow cojot famili 9907 anim comedi famili courteney cox kevin jame sam elliott danni glover wanda syke steve oedekerk
897,Deck the Halls,holiday massachusetts neighbor christmas,9969,Comedy Family,Danny DeVito Matthew Broderick Kristin Davis Kristin Chenoweth Fred Armisen,John Whitesell,deck the hall holiday massachusett neighbor christma 9969 comedi famili danni devito matthew broderick kristin davi kristin chenoweth fred armisen john whitesel
898,The Twilight Saga: New Moon,moon cinema vampire werewolf fang vamp,18239,Adventure Fantasy Drama Romance,Kristen Stewart Robert Pattinson Taylor Lautner Billy Burke Ashley Greene,Chris Weitz,the twilight saga: new moon moon cinema vampir werewolf fang vamp 18239 adventur fantasi drama romanc kristen stewart robert pattinson taylor lautner billi burk ashley green chri weitz
899,Shrek,magic liberation lordship castle robin hood,808,Adventure Animation Comedy Family Fantasy,Mike Myers Eddie Murphy Cameron Diaz John Lithgow Vincent Cassel,Andrew Adamson,shrek magic liber lordship castl robin hood 808 adventur anim comedi famili fantasi mike myer eddi murphi cameron diaz john lithgow vincent cassel andrew adamson
900,The Adjustment Bureau,hotel dancer hat senator future,38050,Science Fiction Thriller Romance,Matt Damon Emily Blunt John Slattery Anthony Mackie Lauren Hodges,George Nolfi,the adjust bureau hotel dancer hat senat futur 38050 scienc fiction thriller romanc matt damon emili blunt john slatteri anthoni macki lauren hodg georg nolfi
901,Robin Hood: Prince of Thieves,england crusade mercifulness robin hood folk hero,8367,Adventure,Kevin Costner Morgan Freeman Christian Slater Mary Elizabeth Mastrantonio Alan Rickman,Kevin Reynolds,robin hood: princ of thiev england crusad merci robin hood folk hero 8367 adventur kevin costner morgan freeman christian slater mari elizabeth mastrantonio alan rickman kevin reynold
902,Jerry Maguire,stadium career sport sports agent,9390,Comedy Drama Romance,Tom Cruise Cuba Gooding Jr. Ren\u00e9e Zellweger Kelly Preston Alison Armitage,Cameron Crowe,jerri maguir stadium career sport sport agent 9390 comedi drama romanc tom cruis cuba good jr. ren\u00e9 zellweg kelli preston alison armitag cameron crow
903,Ted,friendship love teddy bear toy comes to life wishes come true,72105,Comedy Fantasy,Mark Wahlberg Mila Kunis Seth MacFarlane Joel McHale Giovanni Ribisi,Seth MacFarlane,ted friendship love teddi bear toy come to life wish come true 72105 comedi fantasi mark wahlberg mila kuni seth macfarlan joel mchale giovanni ribisi seth macfarlan
904,As Good as It Gets,single parent waitress lone wolf friendship neighbor,2898,Comedy Romance,Jack Nicholson Helen Hunt Greg Kinnear Cuba Gooding Jr. Skeet Ulrich,James L. Brooks,as good as it get singl parent waitress lone wolf friendship neighbor 2898 comedi romanc jack nicholson helen hunt greg kinnear cuba good jr. skeet ulrich jame l. brook
905,Patch Adams,nurse hospital doctor laughter,10312,Comedy Drama,Robin Williams Philip Seymour Hoffman Bob Gunton Peter Coyote Michael Jeter,Tom Shadyac,patch adam nurs hospit doctor laughter 10312 comedi drama robin william philip seymour hoffman bob gunton peter coyot michael jeter tom shadyac
906,Anchorman 2: The Legend Continues,journalism mustache tv news newsroom gang warfare,109443,Comedy,Will Ferrell Steve Carell Paul Rudd Christina Applegate David Koechner,Adam McKay,anchorman 2: the legend continu journal mustach tv news newsroom gang warfar 109443 comedi will ferrel steve carel paul rudd christina appleg david koechner adam mckay
907,Mr. Deeds,love letter new hampshire ferrari liar city country contrast,2022,Comedy Romance,Adam Sandler Winona Ryder John Turturro Allen Covert Peter Gallagher,Steven Brill,mr. deed love letter new hampshir ferrari liar citi countri contrast 2022 comedi romanc adam sandler winona ryder john turturro allen covert peter gallagh steven brill
908,Super 8,1970s secret alien train crash pistol,37686,Thriller Science Fiction Mystery,Joel Courtney Elle Fanning Riley Griffiths Kyle Chandler Ryan Lee,J.J. Abrams,super 8 1970 secret alien train crash pistol 37686 thriller scienc fiction mysteri joel courtney ell fan riley griffith kyle chandler ryan lee j.j. abram
909,Erin Brockovich,biography based on true story single mother water pollution environmental law,462,Drama,Julia Roberts Albert Finney Aaron Eckhart Marg Helgenberger Cherry Jones,Steven Soderbergh,erin brockovich biographi base on true stori singl mother water pollut environment law 462 drama julia robert albert finney aaron eckhart marg helgenberg cherri jone steven soderbergh
910,How to Lose a Guy in 10 Days,new york bet journalist therapist advertising expert,9919,Comedy Romance,Kate Hudson Matthew McConaughey Kathryn Hahn Annie Parisse Adam Goldberg,Donald Petrie,how to lose a guy in 10 day new york bet journalist therapist advertis expert 9919 comedi romanc kate hudson matthew mcconaughey kathryn hahn anni pariss adam goldberg donald petri
911,22 Jump Street,high school undercover cop buddy comedy aftercreditsstinger duringcreditsstinger,187017,Crime Comedy Action,Jonah Hill Channing Tatum Dave Franco Ice Cube Nick Offerman,Phil Lord,22 jump street high school undercov cop buddi comedi aftercreditssting duringcreditssting 187017 crime comedi action jonah hill chan tatum dave franco ice cube nick offerman phil lord
912,Interview with the Vampire,paris san francisco vampire plantation pity,628,Horror Romance,Brad Pitt Tom Cruise Kirsten Dunst Antonio Banderas Christian Slater,Neil Jordan,interview with the vampir pari san francisco vampir plantat piti 628 horror romanc brad pitt tom cruis kirsten dunst antonio bandera christian slater neil jordan
913,Yes Man,bungee-jump scooter,10201,Comedy,Jim Carrey Zooey Deschanel Rhys Darby Sasha Alexander Fionnula Flanagan,Peyton Reed,ye man bungee-jump scooter 10201 comedi jim carrey zooey deschanel rhi darbi sasha alexand fionnula flanagan peyton reed
914,Central Intelligence,spy cia espionage high school reunion reference to facebook,302699,Action Comedy,Dwayne Johnson Kevin Hart Amy Ryan Aaron Paul Danielle Nicolet,Rawson Marshall Thurber,central intellig spi cia espionag high school reunion refer to facebook 302699 action comedi dwayn johnson kevin hart ami ryan aaron paul daniel nicolet rawson marshal thurber
915,Stepmom,divorce rebellious daughter freeze frame custody school play,9441,Drama Romance,Julia Roberts Susan Sarandon Ed Harris Jena Malone Liam Aiken,Chris Columbus,stepmom divorc rebelli daughter freez frame custodi school play 9441 drama romanc julia robert susan sarandon ed harri jena malon liam aiken chri columbu
916,Daddy's Home,daddys home,274167,Comedy,Will Ferrell Mark Wahlberg Linda Cardellini Thomas Haden Church Scarlett Estevez,Sean Anders,daddy' home daddi home 274167 comedi will ferrel mark wahlberg linda cardellini thoma haden church scarlett estevez sean ander
917,Into the Woods,witch cinderella prince fairy tale musical,224141,Fantasy Comedy Music,Meryl Streep Emily Blunt James Corden Anna Kendrick Chris Pine,Rob Marshall,into the wood witch cinderella princ fairi tale music 224141 fantasi comedi music meryl streep emili blunt jame corden anna kendrick chri pine rob marshal
918,Inside Man,bank manager kidnapping nazi background document ultimatum,388,Crime Drama Thriller,Denzel Washington Clive Owen Jodie Foster Christopher Plummer Willem Dafoe,Spike Lee,insid man bank manag kidnap nazi background document ultimatum 388 crime drama thriller denzel washington clive owen jodi foster christoph plummer willem dafo spike lee
919,Payback,new york heroin money criminal,2112,Drama Action Thriller Crime,Mel Gibson Kris Kristofferson Gregg Henry Maria Bello David Paymer,Brian Helgeland,payback new york heroin money crimin 2112 drama action thriller crime mel gibson kri kristofferson gregg henri maria bello david paymer brian helgeland
920,Congo,gorilla kongo diamond mine diamond,10329,Action Adventure Drama Mystery Science Fiction,Laura Linney Dylan Walsh Ernie Hudson Tim Curry Grant Heslov,Frank Marshall,congo gorilla kongo diamond mine diamond 10329 action adventur drama mysteri scienc fiction laura linney dylan walsh erni hudson tim curri grant heslov frank marshal
921,We Bought a Zoo,zoo,74465,Drama Comedy Family,Matt Damon Scarlett Johansson Thomas Haden Church Colin Ford Maggie Elizabeth Jones,Cameron Crowe,we bought a zoo zoo 74465 drama comedi famili matt damon scarlett johansson thoma haden church colin ford maggi elizabeth jone cameron crow
922,Knowing,cataclysm code suspense end of the world time capsule,13811,Action Adventure Drama Mystery Science Fiction,Nicolas Cage Rose Byrne Chandler Canterbury Ben Mendelsohn Nadia Townsend,Alex Proyas,know cataclysm code suspens end of the world time capsul 13811 action adventur drama mysteri scienc fiction nicola cage rose byrn chandler canterburi ben mendelsohn nadia townsend alex proya
923,Failure to Launch,hotel mom romantic comedy lying living with parents pretend relationship,6877,Comedy,Matthew McConaughey Sarah Jessica Parker Zooey Deschanel Justin Bartha Bradley Cooper,Tom Dey,failur to launch hotel mom romant comedi lie live with parent pretend relationship 6877 comedi matthew mcconaughey sarah jessica parker zooey deschanel justin bartha bradley cooper tom dey
924,The Ring Two,nun based on novel bath tub nightmare son,10320,Drama Horror Thriller,Naomi Watts Simon Baker Elizabeth Perkins David Dorfman Gary Cole,Hideo Nakata,the ring two nun base on novel bath tub nightmar son 10320 drama horror thriller naomi watt simon baker elizabeth perkin david dorfman gari cole hideo nakata
925,"Crazy, Stupid, Love.",soulmates midlife crisis marriage crisis womanizer law school,50646,Comedy Drama Romance,Steve Carell Julianne Moore Ryan Gosling Emma Stone Marisa Tomei,Glenn Ficarra,"crazy, stupid, love. soulmat midlif crisi marriag crisi woman law school 50646 comedi drama romanc steve carel juliann moor ryan gosl emma stone marisa tomei glenn ficarra"
926,Garfield,competition moderator lasagne garfield,8920,Animation Comedy Family,Bill Murray Breckin Meyer Jennifer Love Hewitt Stephen Tobolowsky Evan Arnold,Peter Hewitt,garfield competit moder lasagn garfield 8920 anim comedi famili bill murray breckin meyer jennif love hewitt stephen tobolowski evan arnold peter hewitt
927,Christmas with the Kranks,holiday christmas,13673,Comedy Family,Tim Allen Jamie Lee Curtis Dan Aykroyd M. Emmet Walsh Elizabeth Franz,Joe Roth,christma with the krank holiday christma 13673 comedi famili tim allen jami lee curti dan aykroyd m. emmet walsh elizabeth franz joe roth
928,Moneyball,underdog based on novel baseball teamwork sport,60308,Drama,Brad Pitt Jonah Hill Philip Seymour Hoffman Robin Wright Chris Pratt,Bennett Miller,moneybal underdog base on novel basebal teamwork sport 60308 drama brad pitt jonah hill philip seymour hoffman robin wright chri pratt bennett miller
929,Outbreak,river general research army serum,6950,Action Drama Science Fiction Thriller,Dustin Hoffman Rene Russo Morgan Freeman Kevin Spacey Cuba Gooding Jr.,Wolfgang Petersen,outbreak river gener research armi serum 6950 action drama scienc fiction thriller dustin hoffman rene russo morgan freeman kevin spacey cuba good jr. wolfgang petersen
930,Non-Stop,airplane conspiracy airplane crash cell phone hijack,225574,Action Thriller Mystery,Liam Neeson Julianne Moore Scoot McNairy Michelle Dockery Nate Parker,Jaume Collet-Serra,non-stop airplan conspiraci airplan crash cell phone hijack 225574 action thriller mysteri liam neeson juliann moor scoot mcnairi michel dockeri nate parker jaum collet-serra
931,Race to Witch Mountain,spacecraft laser teleportation telekinesis alien,13836,Adventure Family Fantasy Science Fiction Thriller,Dwayne Johnson AnnaSophia Robb Alexander Ludwig Carla Gugino Chris Marquette,Andy Fickman,race to witch mountain spacecraft laser teleport telekinesi alien 13836 adventur famili fantasi scienc fiction thriller dwayn johnson annasophia robb alexand ludwig carla gugino chri marquett andi fickman
932,V for Vendetta,detective vatican fascism satanism fascist,752,Action Thriller Fantasy,Natalie Portman Hugo Weaving Stephen Rea Stephen Fry John Hurt,James McTeigue,v for vendetta detect vatican fascism satan fascist 752 action thriller fantasi natali portman hugo weav stephen rea stephen fri john hurt jame mcteigu
933,Shanghai Knights,london england indian territory emperor revenge murder,6038,Action Adventure Comedy Western,Jackie Chan Owen Wilson Fann Wong Aaron Taylor-Johnson Aidan Gillen,David Dobkin,shanghai knight london england indian territori emperor reveng murder 6038 action adventur comedi western jacki chan owen wilson fann wong aaron taylor-johnson aidan gillen david dobkin
934,Curious George,museum product placement balloon jungle monkey,9975,Adventure Animation Comedy Family,Will Ferrell Drew Barrymore David Cross Eugene Levy Dick Van Dyke,Matthew O'Callaghan,curiou georg museum product placement balloon jungl monkey 9975 adventur anim comedi famili will ferrel drew barrymor david cross eugen levi dick van dyke matthew o'callaghan
935,Herbie Fully Loaded,car race victory car nascar woman director,11451,Comedy Family Adventure Fantasy Romance,Lindsay Lohan Michael Keaton Matt Dillon Breckin Meyer Justin Long,Angela Robinson,herbi fulli load car race victori car nascar woman director 11451 comedi famili adventur fantasi romanc lindsay lohan michael keaton matt dillon breckin meyer justin long angela robinson
936,Don't Say a Word,cemetery diamant suspense psychiatrist killer,12103,Thriller,Michael Douglas Sean Bean Brittany Murphy Skye McCole Bartusiak Guy Torry,Gary Fleder,don't say a word cemeteri diamant suspens psychiatrist killer 12103 thriller michael dougla sean bean brittani murphi skye mccole bartusiak guy torri gari fleder
937,Hansel & Gretel: Witch Hunters,witch black magic steampunk good vs evil troll,60304,Fantasy Horror Action,Jeremy Renner Gemma Arterton Famke Janssen Pihla Viitala Derek Mears,Tommy Wirkola,hansel & gretel: witch hunter witch black magic steampunk good vs evil troll 60304 fantasi horror action jeremi renner gemma arterton famk janssen pihla viitala derek mear tommi wirkola
938,Unfaithful,adultery infidelity eroticism literature lover,2251,Thriller Drama,Richard Gere Diane Lane Olivier Martinez Erik Per Sullivan Zeljko Ivanek,Adrian Lyne,unfaith adulteri infidel erotic literatur lover 2251 thriller drama richard gere dian lane olivi martinez erik per sullivan zeljko ivanek adrian lyne
939,I Am Number Four,secret identity alien teenage boy teenage hero alien teenager,46529,Action Thriller Science Fiction Adventure,Alex Pettyfer Timothy Olyphant Teresa Palmer Dianna Agron Callan McAuliffe,D.J. Caruso,i am number four secret ident alien teenag boy teenag hero alien teenag 46529 action thriller scienc fiction adventur alex pettyf timothi olyph teresa palmer dianna agron callan mcauliff d.j. caruso
940,Syriana,anti terror bomb assassination middle east lebanon,231,Drama Thriller,George Clooney Matt Damon Jeffrey Wright Chris Cooper Amanda Peet,Stephen Gaghan,syriana anti terror bomb assassin middl east lebanon 231 drama thriller georg clooney matt damon jeffrey wright chri cooper amanda peet stephen gaghan
941,13 Hours: The Secret Soldiers of Benghazi,based on novel assault rifle mercenary libya biography,300671,Action Drama History Thriller War,James Badge Dale John Krasinski Max Martini Pablo Schreiber Toby Stephens,Michael Bay,13 hours: the secret soldier of benghazi base on novel assault rifl mercenari libya biographi 300671 action drama histori thriller war jame badg dale john krasinski max martini pablo schreiber tobi stephen michael bay
942,The Book of Life,love triangle afterlife day of the dead bullfighting,228326,Romance Animation Adventure Comedy Family,Diego Luna Channing Tatum Zoe Saldana Christina Applegate Eugenio Derbez,Jorge R. Gutierrez,the book of life love triangl afterlif day of the dead bullfight 228326 romanc anim adventur comedi famili diego luna chan tatum zoe saldana christina appleg eugenio derbez jorg r. gutierrez
943,Firewall,bank technology blackmail hacker seattle,9754,Thriller,Harrison Ford Paul Bettany Virginia Madsen Carly Schroeder Jimmy Bennett,Richard Loncraine,firewal bank technolog blackmail hacker seattl 9754 thriller harrison ford paul bettani virginia madsen carli schroeder jimmi bennett richard loncrain
944,Absolute Power,corruption assassination washington d.c. rape white house,66,Crime Drama Thriller,Clint Eastwood Gene Hackman Ed Harris Scott Glenn Laura Linney,Clint Eastwood,absolut power corrupt assassin washington d.c. rape white hous 66 crime drama thriller clint eastwood gene hackman ed harri scott glenn laura linney clint eastwood
945,G.I. Jane,poem middle east helicopter satellite navy,4421,Action Drama,Demi Moore Viggo Mortensen Anne Bancroft Jason Beghe Daniel von Bargen,Ridley Scott,g.i. jane poem middl east helicopt satellit navi 4421 action drama demi moor viggo mortensen ann bancroft jason begh daniel von bargen ridley scott
946,The Game,brother brother relationship birthday danger of life birthday party surprising,2649,Drama Thriller Mystery,Michael Douglas Sean Penn Deborah Kara Unger James Rebhorn Spike Jonze,David Fincher,the game brother brother relationship birthday danger of life birthday parti surpris 2649 drama thriller mysteri michael dougla sean penn deborah kara unger jame rebhorn spike jonz david fincher
947,Silent Hill,monster mother role burning of witches fog suffering,588,Horror Mystery,Radha Mitchell Sean Bean Laurie Holden Deborah Kara Unger Kim Coates,Christophe Gans,silent hill monster mother role burn of witch fog suffer 588 horror mysteri radha mitchel sean bean lauri holden deborah kara unger kim coat christoph gan
948,The Replacements,american football strike sport coach misfit,10393,Comedy,Keanu Reeves Gene Hackman Brooke Langton Orlando Jones Faizon Love,Howard Deutch,the replac american footbal strike sport coach misfit 10393 comedi keanu reev gene hackman brook langton orlando jone faizon love howard deutch
949,American Reunion,wife husband relationship sequel family reunion masturbation scat,71552,Comedy,Jason Biggs Alyson Hannigan Seann William Scott Chris Klein Thomas Ian Nicholas,Jon Hurwitz,american reunion wife husband relationship sequel famili reunion masturb scat 71552 comedi jason bigg alyson hannigan seann william scott chri klein thoma ian nichola jon hurwitz
950,The Negotiator,corruption hostage pension innocence police,9631,Action Adventure Crime Drama Mystery,Samuel L. Jackson Kevin Spacey David Morse Ron Rifkin John Spencer,F. Gary Gray,the negoti corrupt hostag pension innoc polic 9631 action adventur crime drama mysteri samuel l. jackson kevin spacey david mors ron rifkin john spencer f. gari gray
951,Into the Storm,tornado student found footage disaster movie,216282,Action Thriller,Richard Armitage Sarah Wayne Callies Matt Walsh Nathan Kress Alycia Debnam-Carey,Steven Quale,into the storm tornado student found footag disast movi 216282 action thriller richard armitag sarah wayn calli matt walsh nathan kress alycia debnam-carey steven qual
952,Beverly Hills Cop III,detective undercover security camera carousel  investigation,306,Action Comedy Crime,Eddie Murphy Judge Reinhold H\u00e9ctor Elizondo Gilbert R. Hill Timothy Carhart,John Landis,beverli hill cop iii detect undercov secur camera carousel investig 306 action comedi crime eddi murphi judg reinhold h\u00e9ctor elizondo gilbert r. hill timothi carhart john landi
953,Gremlins 2: The New Batch,new york monster skyscraper mutant restaurant,928,Comedy Horror Fantasy,Zach Galligan Phoebe Cates John Glover Robert Prosky Robert Picardo,Joe Dante,gremlin 2: the new batch new york monster skyscrap mutant restaur 928 comedi horror fantasi zach galligan phoeb cate john glover robert proski robert picardo joe dant
954,The Judge,father son relationship judge lawyer,205587,Drama,Robert Duvall Robert Downey Jr. Vera Farmiga Vincent D'Onofrio Jeremy Strong,David Dobkin,the judg father son relationship judg lawyer 205587 drama robert duval robert downey jr. vera farmiga vincent d'onofrio jeremi strong david dobkin
955,The Peacemaker,helicopter terrorist nuclear missile bridge train crash,6623,Action Thriller,George Clooney Nicole Kidman Marcel Iure\u0219 Goran Visnjic Armin Mueller-Stahl,Mimi Leder,the peacemak helicopt terrorist nuclear missil bridg train crash 6623 action thriller georg clooney nicol kidman marcel iure\u0219 goran visnjic armin mueller-stahl mimi leder
956,Resident Evil: Apocalypse,martial arts mutant dystopia rescue conspiracy,1577,Horror Action Science Fiction,Milla Jovovich Sienna Guillory Oded Fehr Thomas Kretschmann Sophie Vavasseur,Alexander Witt,resid evil: apocalyps martial art mutant dystopia rescu conspiraci 1577 horror action scienc fiction milla jovovich sienna guillori ode fehr thoma kretschmann sophi vavasseur alexand witt
957,Bridget Jones: The Edge of Reason,london england lovesickness thailand clumsy fellow to drop brick,9801,Comedy Romance,Ren\u00e9e Zellweger Hugh Grant Colin Firth Jim Broadbent Gemma Jones,Beeban Kidron,bridget jones: the edg of reason london england lovesick thailand clumsi fellow to drop brick 9801 comedi romanc ren\u00e9 zellweg hugh grant colin firth jim broadbent gemma jone beeban kidron
958,Out of Time,miami florida double murder divorce,2116,Thriller Crime Drama,Denzel Washington Eva Mendes Sanaa Lathan John Billingsley Dean Cain,Carl Franklin,out of time miami florida doubl murder divorc 2116 thriller crime drama denzel washington eva mend sanaa lathan john billingsley dean cain carl franklin
959,On Deadly Ground,fight inuit petrol company alaska,9624,Action Thriller,Steven Seagal Michael Caine Joan Chen John C. McGinley R. Lee Ermey,Steven Seagal,on deadli ground fight inuit petrol compani alaska 9624 action thriller steven seagal michael cain joan chen john c. mcginley r. lee ermey steven seagal
960,The Adventures of Sharkboy and Lavagirl,imaginary friend outcast,14199,Adventure Family Science Fiction,Taylor Lautner Taylor Dooley Cayden Boyd David Arquette Kristin Davis,Robert Rodriguez,the adventur of sharkboy and lavagirl imaginari friend outcast 14199 adventur famili scienc fiction taylor lautner taylor dooley cayden boyd david arquett kristin davi robert rodriguez
961,The Beach,hippie exotic island beach map group dynamics,1907,Drama Adventure Romance Thriller,Leonardo DiCaprio Guillaume Canet Tilda Swinton Virginie Ledoyen Staffan Kihlbom,Danny Boyle,the beach hippi exot island beach map group dynam 1907 drama adventur romanc thriller leonardo dicaprio guillaum canet tilda swinton virgini ledoyen staffan kihlbom danni boyl
962,Raising Helen,new york pastor world of fasion loss of parents mannequin,4599,Drama Comedy Romance,Kate Hudson John Corbett Joan Cusack Hayden Panettiere Spencer Breslin,Garry Marshall,rais helen new york pastor world of fasion loss of parent mannequin 4599 drama comedi romanc kate hudson john corbett joan cusack hayden panettier spencer breslin garri marshal
963,Ninja Assassin,assassination assassin ninja fighter revenge ninja,22832,Action Crime Thriller,Rain Naomie Harris Sung Kang Randall Duk Kim Rick Yune,James McTeigue,ninja assassin assassin assassin ninja fighter reveng ninja 22832 action crime thriller rain naomi harri sung kang randal duk kim rick yune jame mcteigu
964,For Love of the Game,baseball trainer career legend training,10390,Drama Romance,Kevin Costner Kelly Preston John C. Reilly Jena Malone J.K. Simmons,Sam Raimi,for love of the game basebal trainer career legend train 10390 drama romanc kevin costner kelli preston john c. reilli jena malon j.k. simmon sam raimi
965,Striptease,blackmail strip club striptease police u.s. congress,9879,Drama Thriller Crime,Demi Moore Burt Reynolds Armand Assante Ving Rhames Robert Patrick,Andrew Bergman,stripteas blackmail strip club stripteas polic u.s. congress 9879 drama thriller crime demi moor burt reynold armand assant ving rhame robert patrick andrew bergman
966,Marmaduke,,38579,Family Comedy,Owen Wilson Emma Stone George Lopez Christopher Mintz-Plasse Steve Coogan,Tom Dey,marmaduk nan 38579 famili comedi owen wilson emma stone georg lopez christoph mintz-plass steve coogan tom dey
967,Hereafter,,44603,Drama Fantasy,Matt Damon Bryce Dallas Howard George McLaren Thierry Neuvic Cyndi Mayo Davis,Clint Eastwood,hereaft nan 44603 drama fantasi matt damon bryce dalla howard georg mclaren thierri neuvic cyndi mayo davi clint eastwood
968,Murder by Numbers,detective secret fbi homicide evidence,11892,Crime Drama Thriller,Sandra Bullock Ben Chaplin Ryan Gosling Michael Pitt Agnes Bruckner,Barbet Schroeder,murder by number detect secret fbi homicid evid 11892 crime drama thriller sandra bullock ben chaplin ryan gosl michael pitt agn bruckner barbet schroeder
969,Assassins,competition assassination cia bank cat,9691,Action Adventure Crime Thriller,Sylvester Stallone Antonio Banderas Julianne Moore Anatoli Davydov Muse Watson,Richard Donner,assassin competit assassin cia bank cat 9691 action adventur crime thriller sylvest stallon antonio bandera juliann moor anatoli davydov muse watson richard donner
970,Hannibal Rising,winter psychopath horror serial killer,1248,Crime Drama Thriller,Gaspard Ulliel Aaran Thomas Gong Li Dominic West Rhys Ifans,Peter Webber,hannib rise winter psychopath horror serial killer 1248 crime drama thriller gaspard ulliel aaran thoma gong li domin west rhi ifan peter webber
971,The Story of Us,love of one's life therapist psychology wedding relationship,12220,Comedy Drama Romance,Bruce Willis Michelle Pfeiffer Rob Reiner Colleen Rennison Jake Sandvig,Rob Reiner,the stori of us love of one' life therapist psycholog wed relationship 12220 comedi drama romanc bruce willi michel pfeiffer rob reiner colleen rennison jake sandvig rob reiner
972,The Host,based on novel mass murder dystopia genocide alien invasion,72710,Action Adventure Romance Science Fiction Thriller,Saoirse Ronan Diane Kruger Jake Abel William Hurt Frances Fisher,Andrew Niccol,the host base on novel mass murder dystopia genocid alien invas 72710 action adventur romanc scienc fiction thriller saoirs ronan dian kruger jake abel william hurt franc fisher andrew niccol
973,Basic,drug addiction military court panama military service court,10782,Action Drama Mystery Thriller Crime,John Travolta Connie Nielsen Samuel L. Jackson Giovanni Ribisi Tim Daly,John McTiernan,basic drug addict militari court panama militari servic court 10782 action drama mysteri thriller crime john travolta conni nielsen samuel l. jackson giovanni ribisi tim dali john mctiernan
974,Blood Work,houseboat heart investigation police ex-cop,9573,Crime Drama Mystery Thriller,Clint Eastwood Jeff Daniels Anjelica Huston Wanda De Jesus Tina Lifford,Clint Eastwood,blood work houseboat heart investig polic ex-cop 9573 crime drama mysteri thriller clint eastwood jeff daniel anjelica huston wanda de jesu tina lifford clint eastwood
975,The International,duringcreditsstinger,4959,Drama Thriller Crime,Clive Owen Naomi Watts Armin Mueller-Stahl Ulrich Thomsen Br\u00edan F. O'Byrne,Tom Tykwer,the intern duringcreditssting 4959 drama thriller crime clive owen naomi watt armin mueller-stahl ulrich thomsen br\u00edan f. o'byrn tom tykwer
976,Escape from L.A.,prison usa president earthquake dystopia attempt to escape,10061,Action Adventure Science Fiction Thriller,Kurt Russell Stacy Keach Steve Buscemi Pam Grier Cliff Robertson,John Carpenter,escap from l.a. prison usa presid earthquak dystopia attempt to escap 10061 action adventur scienc fiction thriller kurt russel staci keach steve buscemi pam grier cliff robertson john carpent
977,The Iron Giant,cold war friendship giant robot sitting on a toilet fear of unknown,10386,Adventure Animation Family Fantasy Science Fiction,Eli Marienthal Jennifer Aniston Vin Diesel Christopher McDonald Harry Connick Jr.,Brad Bird,the iron giant cold war friendship giant robot sit on a toilet fear of unknown 10386 adventur anim famili fantasi scienc fiction eli marienth jennif aniston vin diesel christoph mcdonald harri connick jr. brad bird
978,The Life Aquatic with Steve Zissou,ocean film making loss of mother cynic red cap,421,Adventure Comedy Drama,Bill Murray Anjelica Huston Cate Blanchett Willem Dafoe Owen Wilson,Wes Anderson,the life aquat with steve zissou ocean film make loss of mother cynic red cap 421 adventur comedi drama bill murray anjelica huston cate blanchett willem dafo owen wilson we anderson
979,Free State of Jones,slavery american civil war,316152,War Action Drama History Thriller,Matthew McConaughey Gugu Mbatha-Raw Mahershala Ali Keri Russell Jacob Lofland,Gary Ross,free state of jone slaveri american civil war 316152 war action drama histori thriller matthew mcconaughey gugu mbatha-raw mahershala ali keri russel jacob lofland gari ross
980,The Life of David Gale,prison journalist texas professor death penalty,11615,Drama Thriller Crime,Kevin Spacey Kate Winslet Laura Linney Gabriel Mann Rhona Mitra,Alan Parker,the life of david gale prison journalist texa professor death penalti 11615 drama thriller crime kevin spacey kate winslet laura linney gabriel mann rhona mitra alan parker
